ID,ConceptName,Dependencies,CategoryID
1,Computer Literacy,,1
2,Keyboard Proficiency,1,1
3,Command-Line Interface (CLI),1|2,1
4,Basic Programming Concepts,1|2,1
5,Text Editors,1|2,1
6,Web Browsers,1|2,1
7,Introduction to Git,3|4|5,6
8,GitHub Fundamentals,7,6
9,Basic HTML,1|2|6,7
10,Basic JavaScript,4|9,7
11,Introduction to Generative AI,1|2,2
12,AI in Education,11,2
13,MicroSim Definition,11|12,2
14,Role of MicroSims in Learning,13,2
15,Examples of MicroSims,13,2
16,Interactive Simulations,4|13,2
17,Visualization Techniques,16,2
18,User Interface (UI) Basics,1|2,2
19,Processing Libraries Overview,10|16,3
20,Introduction to p5.js,19,3
21,Setting Up p5.js Environment,20,3
22,p5.js Online Editor,21,3
23,p5.js Syntax,20,3
24,Variables in p5.js,23,3
25,Functions in p5.js,23,3
26,Drawing Shapes in p5.js,23,3
27,Coordinate System in p5.js,26,3
28,Colors in p5.js,26,3
29,Lines and Curves,26,3
30,Text Rendering in p5.js,23,3
31,Images in p5.js,23,3
32,Animation Basics,26,3
33,Loops in p5.js,24|25,3
34,Conditionals in p5.js,24|25,3
35,Arrays in p5.js,24,3
36,Objects in p5.js,24|25,3
37,Events in p5.js,25,3
38,Mouse Interaction,37,3
39,Keyboard Interaction,37,3
40,Setup Function,23,3
41,Draw Function,23,3
42,Frame Rate Control,32|41,3
43,Canvas Size Configuration,40,3
44,Crafting AI Prompts,11,5
45,Prompt Engineering,44,5
46,Effective Communication with AI,44,5
47,Templates for MicroSims,23|45,5
48,AI-Generated Code,45,5
49,Code Quality Assurance,48,8
50,Debugging Techniques,48|49,8
51,Error Handling,50,8
52,Testing MicroSims,50|51,8
53,Refining MicroSims,52,8
54,User Experience (UX) Design,18|17,8
55,Consistent UI Design,54,8
56,Feedback Loops with AI,46,5
57,Correcting AI Errors,50|56,5
58,Improving AI Output,57,5
59,p5.js Libraries,19|20,4
60,External Libraries Integration,59,4
61,Modular Code Development,35|36,8
62,Code Reusability,61,8
63,Version Control with Git,7,6
64,Branching Strategies in Git,63,6
65,Merging Conflicts Resolution,64,6
66,Collaborating on GitHub,8|65,6
67,Publishing to GitHub Pages,66,10
68,Hosting MicroSims Online,67,10
69,Custom Domains with GitHub Pages,68,10
70,HTML Integration with p5.js,9|23,7
71,CSS Basics,9,7
72,Styling MicroSims,70|71,7
73,Responsive Design Principles,72,7
74,Mobile Compatibility,73,7
75,Accessibility in Design,73,7
76,Advanced p5.js Features,59,4
77,Sound Integration,76,4
78,Audio Playback in p5.js,77,4
79,Video Embedding in p5.js,76,4
80,Data Visualization Techniques,17|76,4
81,Loading Data Files,80,4
82,JSON Handling in p5.js,81,4
83,APIs Integration,82,4
84,Real-Time Data Processing,83,4
85,Complex Animations,32|76,4
86,Physics Simulations,85,4
87,Particle Systems,85,4
88,3D Graphics in p5.js,76,4
89,WebGL Usage in p5.js,88,4
90,Shader Programming Basics,89,4
91,DOM Manipulation with p5.js,70,4
92,Touch Event Handling,37,4
93,Multi-Touch Support,92,4
94,Function Libraries Creation,36|61,4
95,Code Optimization Strategies,62|61,8
96,Performance Tuning,95,8
97,Memory Management,96,8
98,Debugging Tools,50,8
99,Console Logging Techniques,50,8
100,Interpreting Error Messages,50|51,8
101,Breakpoints Usage,98,8
102,Code Profiling,96,8
103,Code Refactoring,62,8
104,Coding Best Practices,103,8
105,Code Documentation,104,8
106,Commenting Standards,104,8
107,Code Readability,104,8
108,Style Guidelines,104,8
109,Naming Conventions,104,8
110,Object-Oriented Programming (OOP),36,8
111,Classes in p5.js,110,8
112,Inheritance Concepts,110,8
113,Polymorphism Principles,110,8
114,Encapsulation Techniques,110,8
115,Modular Design Patterns,61|110,8
116,Design Patterns Overview,115,8
117,MVC Architecture,116,8
118,Software Development Life Cycle (SDLC),104,8
119,Agile Methodology,118,8
120,Project Management Tools,119,8
121,Time Management Skills,119,8
122,Group Collaboration Techniques,120,8
123,Peer Review Processes,122,8
124,Version Control Workflows,63,6
125,Pull Requests in GitHub,66,6
126,Code Reviews Best Practices,123|125,8
127,Issue Tracking Systems,120,8
128,Milestones in GitHub,66,6
129,GitHub Actions,66,6
130,Continuous Integration (CI),129,6
131,Continuous Deployment (CD),130,6
132,Web Hosting Concepts,67,10
133,DNS Basics,132,10
134,SSL Certificates,132,10
135,HTTPS Protocol,134,10
136,Web Application Security,135,10
137,Cross-Site Scripting (XSS) Prevention,136,10
138,Input Validation Techniques,136,10
139,Authentication Methods,136,10
140,Authorization Concepts,136,10
141,Data Privacy Laws,136,10
142,User Data Handling,141,10
143,Ethical Considerations in AI,11,9
144,AI Bias Awareness,143,9
145,Responsible AI Use,144,9
146,Future Trends in AI,145,9
147,Emerging Technologies in Education,146,9
148,Lifelong Learning Strategies,147,9
149,Career Opportunities in AI,148,9
150,The Future of MicroSims,13|146,9